en,cn,ar,pos
Your ticket is in order now.,您的机票现在完全办妥了。,,sent
youth hostel,青年旅馆,بيوت الشباب,np
Zagreb,萨格勒布,زغرب,np
Zambia,赞比亚,زامبيا,np
zero,零,صفر,num
Zimbabwe,津巴布韦,زيمبابوي,np
Zurich,苏黎世,زيوريخ,np
* and *,*和*,* و *,conj
Afghan,阿富汗,الأفغاني,adj
after all *,毕竟 *,بعد كل ذلك *,conj
although *,尽管*,برغم من *,conj
American,美国人,أمريكي,adj
Amharic,阿姆哈拉语,الأمهرية,adj
Arab,阿拉伯人,عربي,adj
Arabic,阿拉伯,عربى,adj
Argentinian,阿根廷人,الأرجنتيني,adj
as if *,仿佛*,كما لو *,conj
as soon as *,尽快 *,في أقرب وقت *,conj
Australian,澳大利亚,الأسترالي,adj
because *,因为*,لان *,conj
Bolivian,玻利维亚,بوليفي,adj
Brazilian,巴西人,برازيلي,adj
British,英国的,بريطاني,adj
both,都,على حد سواء,conj
Cambodian,柬埔寨,كمبوديا,adj
Cameroonian,喀麦隆,الكاميروني,adj
Canadian,加拿大,الكندية,adj
Chilean,智利,شيلي,adj
Chinese,中国的,صينى,adj
Chinese language,中文,اللغة الصينية,adj
Colombian,哥伦比亚,كولومبي,adj
Costa Rican,哥斯达黎加,كوستاريكا,adj
Cuban,古巴,الكوبية,adj
Danish,丹麦,دانماركي,adj
Dominican,多明尼加,الدومينيكان,adj
Dutch,荷兰人,هولندي,adj
Ecuadorian,厄瓜多尔,الاكوادوري,adj
Egyptian,埃及人,مصري,adj
either * or *,两者任一 *,إما * او *,conj
English,英语,الإنجليزية,adj
Estonian,爱沙尼亚语,الإستونية,adj
Ethiopian,埃塞俄比亚,حبشي,adj
even if *,即使 *,حتى لو *,conj
Filipino,菲律宾,الفلبينية,adj
finally *,最后*,أخيرا *,conj
Finnish,芬兰,اللغة الفنلندية,adj
for *,为*,إلى عن على *,conj
for example *,例如 *,فمثلا *,conj
French,法国,الفرنسية,adj
furthermore *,此外*,علاوة على ذلك *,conj
German,德语,ألمانية,adj
Ghanaian,加纳的,الغاني,adj
Greek,希腊语,الإغريقي,adj
Guatemalan,危地马拉,غواتيمالا,adj
Haitian,海地,هايتي,adj
Hebrew,希伯来语,اللغة العبرية,adj
Honduran,洪都拉斯,هندوراس,adj
if *,如果*,إذا *,conj
in addition,此外,بالإضافة الى,conj
Indonesian,印度尼西亚,الأندونيسية,adj
instead *,相反*,في حين أن *,conj
Iranian,伊朗的,إيراني,adj
Irish,爱尔兰的,الأيرلندية,adj
Israeli,以色列,إسرائيلي,adj
Italian,意大利的,الإيطالي,adj
Japanese,日本的,اليابانية,adj
Jordanian,约旦人,أردني,adj
Kenyan,肯尼亚,الكيني,adj
Korean,韩国的,الكورية,adj
Laotian,老挝的,اللاوسي,adj
Lebanese,黎巴嫩,لبناني,adj
likewise,同样,بطريقة مماثلة,conj
Lithuanian,立陶宛,اللتوانية,adj
Malay,马来语,لغة الملايو,adj
Malaysian,马来西亚,الماليزية,adj
meanwhile *,同时*,وفى الوقت نفسه *,conj
Mexican,墨西哥人,المكسيكي,adj
Moroccan,摩洛哥,مغربي,adj
neither nor,既不也不,لا هذا ولا ذاك,conj
New Zealander,新西兰人,نيوزيلندي,adj
Nicaraguan,尼加拉瓜,نيكاراغوا,adj
Norwegian,挪威,النرويجية,adj
not only * but also *,不仅*而且*,ليس فقط * ولكن أيضا *,conj
now that *,现在 *,الآن هذا *,conj
on the other hand *,另一方面 *,من ناحية أخرى *,conj
once *,一次*,ذات مرة *,conj
or *,要么 *,أو *,conj
otherwise *,除此以外 *,غير ذلك *,conj
Panamanian,巴拿马人,بنمي,adj
Paraguayan,巴拉圭,باراغواي,adj
Persian,波斯语,اللغة الفارسية,adj
Peruvian,秘鲁,بيرو,adj
Polish,抛光,البولندي,adj
Portuguese,葡萄牙语,البرتغالية,adj
Puerto Rican,波多黎各人,بورتوريكو,adj
Romanian,罗马尼亚,روماني,adj
Russian,俄国的,الروسية,adj
Salvadorian,萨尔瓦多,السلفادورية,adj
Saudi,沙特的,سعودي,adj
Scottish,苏格兰的,الاسكتلندي,adj
since *,自*,منذ *,conj
so *,所以*,وبالتالي *,conj
so that *,以便 *,لهذا السبب *,conj
Spanish language,西班牙语,اللغة الإسبانية,adj
Spanish,西班牙的,الإسبانية,adj
still *,仍然*,ما يزال *,conj
Swahili,斯瓦希里,السواحلية,adj
Swedish,瑞典的,السويدية,adj
Swiss,瑞士人,سويسري,adj
Tagalog,他加禄语,التغالوغ,adj
Taiwanese,台湾的,تايوانية,adj
Tajik,塔吉克,الطاجيكية,adj
Thai,泰国的,التايلاندية,adj
though *,尽管*,على أية حال *,conj
thus *,因此*,هكذا *,conj
Turkish,土耳其的,اللغة التركية,adj
Ukrainian,乌克兰人,الأوكراني,adj
unless *,除非*,ما لم *,conj
until *,直到 *,حتى *,conj
Uruguayan,乌拉圭人,أوروجواي,adj
us,我们,لنا,adj
U.S.,美国,الولايات المتحدة,np
Venezuelan,委内瑞拉的,فنزويلا,adj
Vietnamese,越南的,الفيتنامية,adj
Welsh,威尔士语,تهرب من دفع الرهان,adj
wherever,哪里,أينما,conj
whether *,是否*,سواء *,conj
while *,而*,في حين *,conj
yet *,然而*,بعد *,conj
supermarket,超级市场,سوبر ماركت,np
store,商店,متجر,np
convenience store,便利店,محل بقالة,np
department store,百货商店,قسم التخزين,np
grocery store,杂货店,بقالة,np
Is there *?,有*吗？,هل هناك *؟,vp
bathroom,厕所,حمام,np
What's the cheapest option?,最便宜的选项是什么？,ما هو الخيار الأرخص؟,sent
Do you have a price limit?,有预算吗？,هل لديك حد للسعر؟,sent
limit,上限,حد,np
budget,预算,,
The price is *.,价钱是*。,السعر هو *.,vp
How would you like to pay?,您要如何结账？,,
This one is very good.,这个很好。,هذا واحد هو جيد جدا.,sent
Standard room,标准间,غرفة عادية,np
Triple room,三人房,غرفة ثلاثية,np
Double room,双人房,غرفة مزدوجة,np
This room costs *.,这间客房收费*。,تكاليف هذه الغرفة *.,vp
Extra bed,加床,سريرإضافي,np
Sofa,沙发,كنبة,np
The hotel is close to *.,酒店靠近*。,الفندق قريب من *.,vp
Check-out is *.,退房是*。,تسجيل المغادرة هو *.,vp
Check-in is *.,入住是*。,تسجيل الوصول هو *.,vp
late check-out,延迟退房,تحقق متأخر,np
early check-in,提前入住,حجز مبكر,np
What time do you arrive?,你什么时候到？,في أي وقت ستصل؟,sent
room service,客房服务,خدمة الغرف,np
room cleaning,房间打扫,تنظيف الغرفة,np
Where is breakfast?,早餐在哪里？,أين الإفطار؟,sent
Is there a room for * people?,有*人的房间吗？,هل هناك مجال*  للناس؟,vp
Are tax and service fees included?,是否包含税和服务费？,هل الضرائب ورسوم الخدمات مشمولة؟,sent
Is cancellation free of charge?,免费取消吗？,هل الإلغاء مجاني؟,sent
Is * allowed?,被允许？,هل مسموح به؟,vp
* is not allowed.,* 不允许。,* غير مسموح.,vp
pets,宠物,الحيوانات الأليفة,np
drinking,喝,الشرب,np
smoking,抽烟,تدخين,np
cancellation,消除,إلغاء,np
sharing,分享,مشاركة,np
heating,加热,تدفئة,np
Is there a *?,有没有 *？,هل يوجد *؟,vp
elevator,电梯,مصعد,np
family,家庭,أسرة,np
couple,夫妇,زوج,np
friends,朋友,اصحاب,np
business trip,出差,رحلة عمل,np
This is for *.,这是*。,هذا ل *.,vp
This room is good for *.,这个房间很适合*。,هذه الغرفة جيدة لـ *.,vp
What is the purpose of your trip?,你的旅行目的是什么？,ما الغاية من رحلتك؟,sent
travel,旅行,السفر,np
tourism,旅游,سياحة,np
sightseeing,观光,معالم المدينة,np
visiting family,探望家人,الزيارات العائلية,np
We have great reviews.,我们有很好的评论。,لدينا ملاحظات كبيرة.,sent
sea view,海景,اطلالة البحر,np
city view,城市景观,اطلالة المدينة,np
nice view,美景,منظر جميل,np
meat,肉,لحم,np
salad,沙拉,سلطة,np
My home is *.,我的家是*。,بيتي هو *.,vp
It is *'s birthday tomorrow.,明天是*的生日。,هو عيد ميلاد * غدا.,vp
bacon,培根,لحم خنزير مقدد,np
beef,牛肉,لحم بقري,np
chicken,鸡,دجاج,np
cooked meat,熟肉制品,لحم مطبوخ,np
duck,鸭,بطة,np
ham,火腿,لحم خنزير,np
kidneys,肾脏,كلاوي,np
lamb,羊肉,عدس,np
liver,肝,كبد,np
minced beef,碎牛肉,لحم البقر المفروم,np
paté,快乐渔夫,باتى,np
salami,萨拉米,شرائح لحم,np
sausages,香肠,السجق,np
pork,猪肉,لحم خنزير,np
sausage roll,香肠卷,لفائف السجق,np
turkey,火鸡,ديك رومي,np
veal,小牛肉,لحم العجل,np
Fruit,水果,فاكهة,np
apple,苹果,تفاحة,np
apricot,杏,مشمش,np
banana,香蕉,موز,np
blackberry,黑莓,بلاك بيري,np
blackcurrant,黑醋栗,عنب الثعلب شجرة,np
blueberry,蓝莓,توت بري,np
cherry,樱桃,كرز,np
coconut,椰子,جوزة الهند,np
fig,图,تين,np
gooseberry,醋栗,عنب الثعلب,np
grape,葡萄,عنب,np
grapefruit,葡萄柚,جريب فروت,np
kiwi fruit,奇异果,فاكهة الكيوي,np
lemon,柠檬,ليمون,np
lime,青柠,جير,np
mango,芒果,مانجو,np
melon,瓜,شمام,np
orange,橙子,البرتقالي,np
peach,桃子,خوخ,np
pear,梨,كمثرى,np
pineapple,菠萝,أناناس,np
plum,李子,وظيفة محترمة,np
pomegranate,石榴,رمان,np
raspberry,覆盆子,توت العُليق,np
redcurrant,红醋栗,كشمش أحمر,np
rhubarb,大黄,راوند,np
strawberry,草莓,الفراولة,np
bananas,香蕉,موز,np
grapes,葡萄,عنب,np
fish,鱼,سمك,np
anchovy,凤尾鱼,أنشوفة سمكة,np
cod,鳕鱼,سمك القد,np
haddock,黑线鳕,الحدوق,np
herring,鲱鱼,سمك مملح,np
mackerel,鲭鱼,سمك الأسقمري البحري,np
pilchard,非鱼类,سمك الرنكة,np
salmon,三文鱼,سمك السالمون,np
sardine,沙丁鱼,سمك السردين,np
smoked salmon,烟熏三文鱼,سلمون مدخن,np
sole,唯一,باطن القدم,np
trout,鳟鱼,سمك السلمون المرقط,np
tuna,金枪鱼,تونة,np
Vegetables,蔬菜,خضروات,np
artichoke,朝鲜蓟,خرشوف,np
asparagus,芦笋,نبات الهليون,np
aubergine,茄子,باذنجان,np
avocado,鳄梨,أفوكادو,np
beansprouts,豆芽,beansprouts,np
beetroot,红菜头,جذور الشمندر,np
broad beans,蚕豆,الفول,np
broccoli,西兰花,بروكلي,np
Brussels sprouts,抱子甘蓝,كرة قدم,np
cabbage,卷心菜,الكرنب,np
carrot,胡萝卜,جزرة,np
cauliflower,菜花,قرنبيط,np
celery,芹菜,كرفس,np
chilli,辣椒,الفلفل الحار,np
courgette,胡瓜,الكوسة,np
cucumber,黄瓜,خيار,np
French beans,法国豆,الفاصولياء الفرنسية,np
garlic,大蒜,ثوم,np
ginger,生姜,زنجبيل,np
leek,葱,شخص عادي,np
lettuce,生菜,الخس,np
mushroom,蘑菇,فطر,np
onion,洋葱,بصلة,np
peas,豌豆,بازيلاء,np
pepper,胡椒,فلفل,np
potato,土豆,البطاطس,np
pumpkin,南瓜,يقطين,np
radish,萝卜,فجل,np
rocket,火箭,صاروخ,np
runner beans,亚军豆,الفاصوليا عداء,np
swede,瑞典人,السويدي,np
sweet potato,甘薯,بطاطا حلوة,np
sweetcorn,甜玉米,ذرة حلوه,np
tomato,番茄,طماطم,np
turnip,芜菁,لفت نبات,np
spinach,菠菜,سبانخ,np
spring onion,葱,بصل الربيع,np
squash,壁球,قرع,np
clove of garlic,大蒜丁香,فص من الثوم,np
stick of celery,芹菜棒,عصا من الكرفس,np
canned foods,罐头食品,معلبات,np
frozen foods,冷冻食品,أغذية مجمدة,np
baked beans,烤豆,الفاصوليا المخبوزة,np
corned beef,咸牛肉,لحم بقرى بالذرة,np
kidney beans,芸豆,الفاصوليا,np
soup,汤,حساء,np
tinned tomatoes,罐装西红柿,طماطم معلبة,np
chips,芯片,رقائق,np
fish fingers,鱼的手指,اصابع السمك,np
frozen peas,冷冻豌豆,بازيلاء مجمدة,np
frozen pizza,冷冻披萨,بيتزا مجمدة,np
ice cream,冰淇淋,مثلجات,np
Cooking ingredients,烹饪原料,مكونات الطبخ,np
cooking oil,食用油,زيت الطهي,np
olive oil,橄榄油,زيت الزيتون,np
stock cubes,股票的立方体,مكعبات مرقة,np
tomato purée,番茄酱,معجون الطماطم,np
Dairy products,乳制品,منتجات الألبان,np
butter,牛油,زبدة,np
cream,奶油,كريم,np
cheese,起司,جبن,np
blue cheese,蓝乳酪,جبنة زرقاء,np
cottage cheese,干酪,جبن,np
goats cheese,山羊奶酪,جبن الماعز,np
crème fraîche,鲜奶油,crème fraîche,np
eggs,蛋,بيض,np
free range eggs,自由放养的鸡蛋,نطاق بيض مجاني,np
margarine,人造黄油,سمن,np
milk,牛奶,حليب,np
full-fat milk,全脂牛奶,حليب كامل الدسم,np
semi-skimmed milk,半脱脂奶,حليب نصف دسم,np
skimmed milk,脱脂奶,حليب منزوع الدسم,np
sour cream,酸奶油,الكريمة الحامضة,np
yogurt,酸奶,زبادي,np
baguette,法国面包,الرغيف الفرنسي,np
bread rolls,面包卷,لفات الخبز,np
brown bread,褐色面包,خبز اسمر,np
white bread,白面包,خبز ابيض,np
garlic bread,大蒜面包,خبز بالثوم,np
pitta bread,皮塔面包,خبز بيتا,np
loaf of bread,一块面包,رغيف الخبز,np
sliced loaf,切片面包,رغيف شرائح,np
cake,蛋糕,كيكة,np
Danish pastry,丹麦酥皮,المعجنات الدنماركية,np
quiche,乳蛋饼,كيشي,np
sponge cake,海绵蛋糕,كعكة إسفنجية,np
baking powder,发酵粉,مسحوق الخبز,np
plain flour,纯面粉,دقيق صافي,np
self-raising flour,自发面粉,طحين ذاتي التخمير,np
cornflour,棒子面,دقيق الذرة,np
sugar,糖,السكر,np
brown sugar,红糖,سكر بني,np
icing sugar,糖霜,مسحوق السكر,np
pastry,糕点,معجنات,np
yeast,酵母,خميرة,np
dried apricots,杏干,مشمش مجفف,np
prunes,梅干,الخوخ,np
dates,日期,تواريخ,np
raisins,葡萄干,زبيب,np
sultanas,葡萄干,الكشمش,np
breakfast cereal,早餐麦片,حبوب الإفطار,np
cornflakes,玉米片,رقائق الذرة,np
honey,蜜糖,عسل,np
jam,果酱,مربى,np
marmalade,果酱,البرتقال,np
muesli,麦片,هذا المزيج,np
porridge,稀饭,عصيدة,np
toast,烤面包,النخب,np
noodles,面条,المعكرونة,np
pasta,意大利面,معكرونة,np
pasta sauce,意大利面酱,صلصة المعكرونة,np
pizza,比萨,بيتزا,np
rice,白饭,أرز,np
spaghetti,意大利面,معكرونة,np
condiments and sauces,调味品和酱料,التوابل والصلصات,np
ketchup,番茄酱,كاتشب,np
mayonnaise,蛋黄酱,مايونيز,np
mustard,芥末,خردل,np
pepper,胡椒,فلفل,np
salad dressing,沙拉酱,سلطة خلع الملابس,np
salt,盐,ملح,np
vinaigrette,油醋汁,مثقبة,np
vinegar,尖酸刻薄,خل,np
Snacks,小吃,وجبات خفيفة,np
biscuits,饼干,بسكويت,np
chocolate,巧克力,شوكولاتة,np
crisps,薯片,يجعد,np
hummus,鹰嘴豆泥,الحمص,np
nuts,坚果,جوز,np
olives,橄榄,زيتون,np
peanuts,花生,الفول السوداني,np
sweets,甜食,الحلويات,np
walnuts,核桃,عين الجمل,np
Herbs,草药,أعشاب,np
Spices,香料,توابل,np
chilli powder,辣椒粉,مسحوق الفلفل الحار,np
cinnamon,肉桂,قرفة,np
cumin,小茴香,كمون,np
curry powder,咖喱粉,مسحوق الكاري,np
nutmeg,肉豆蔻,جوزة الطيب,np
paprika,辣椒,فلفل أحمر,np
saffron,藏红花,زعفران,np
organic,有机,عضوي,np
ready meal,预制餐,وجبة جاهزة,np
bag of potatoes,袋土豆,كيس من البطاطا,np
bar of chocolate,一块巧克力,لوح شوكولا,np
bottle of milk,一瓶牛奶,زجاجة حليب,np
carton of milk,牛奶纸箱,علبة حليب,np
box of eggs,一盒鸡蛋,مربع من البيض,np
jar of jam,果酱罐,مرطبان مربى,np
pack of butter,一包黄油,حزمة من الزبدة,np
packet of biscuits,一包饼干,علبة من البسكويت,np
bag of chips,袋芯片,كيس شيبسي,np
packet of cheese,一包奶酪,علبة من الجبن,np
tub of ice cream,浴缸的冰激淋,حوض من الآيس كريم,np
spicy,辣,حار,adj
hot (temperature),热,ساخن,adj
cold,冷,بارد,adj
grilled,烤,شوي,adj
roasted,烤,محمّر,adj
stuffed,填充的,محشي,adj
minced,剁碎,مفروم,adj
crunchy,脆脆,مقرمش,adj
raw,生的,نئ,adj
delicious,美味的,لذيذ,adj
appetizing,开胃的,شهي,adj
I would like to buy *.,我想要买*,أريد أن أشتري *.,vp
I would like to get a room.,我想要一个房间。,أود الحصول على غرفة.,sent
Can I get that one?,我可以有那个吗？,هل يمكنني الحصول على ذلك؟,sent
buy,买,يشترى,vp
"Sorry, we only have those.",不好意思，我只有那些。,عذرا ، ليس لدينا سوى هؤلاء.,sent
"Sorry, we only have that one.",不好意思，我只有那个。,عذرا ، ليس لدينا سوى ذلك واحد.,sent
When is the earliest flight to *?,最早的班机是什么时候？,متى تكون أول رحلة طيران إلى *؟,vp
I only have *.,我只有*,لدي فقط *.,vp
Credit card,信用卡,بطاقة ائتمان,np
Debit card,借记卡,بطاقة ائتمان,np
Cash,现金,السيولة النقدية,np
It's at *.,在*,انه عند *.,vp
supervisor,主管,مشرف,np
When is the flight landing in *?,班机何时抵达*？,متى تهبط الرحلة في *؟,vp
service,服务,الخدمات,np
per night,每晚,لليلة الواحدة,adv
how many *?,几个*？,كم العدد *؟,vp
in a rush,赶时间,مستعجل، في عجلة من أمري,adv
How much does it cost?,多少钱？,كم يكلف؟,sent
as soon as possible,尽早,في أقرب وقت ممكن,adv
Where would you like to go?,您想去哪里？,أين تريد أن تذهب؟,sent
That flight costs *.,那班飞机价钱是*。,تكاليف الرحلة *.,vp
It costs *.,价钱是*。,يكلف *.,vp
Which flight would you like?,您想要哪班飞机？,أي رحلة تود؟,sent
How much are you willing to pay?,您愿意付多少钱？,كم أنت على استعداد لدفع؟,sent
