,ar,cn,en,pos
2125,متى تنطلق الحافلة المتجه إلى*؟,去*的公车什么时候离开？,When does the bus for * leave?,vp
2126,متى ينطلق القطار المتجه إلى*؟,去*的火车什么时候离开？,When does the train for * leave?,vp
2127,ما هو توقيت الإغلاق؟,几点关门？,When is closing time?,sent
2128,ما هو توقيت الافتتاح؟,几点开门？,When is opening time?,sent
2129,متى؟,什么时候？,When?,sent
2130,من أين أنت؟,你从哪里来的？,Where are you from?,sent
2131,إلى أين أنت آخذني؟,你带我去哪里？,Where are you taking me?,sent
2132,أين يمكنني أن أجد؟,哪里有*?,Where can I find *?,vp
2133,أين يمكنني أن أصرّف شيك سياحي؟,我在哪里可以兑换这个旅行支票？,Where can I get a traveler's check changed?,sent
2134,أين يمكنني أن أصرّف بعض المال؟,我要在哪里换钱？,Where can I get money changed?,sent
2135,أين يمكننا أن نحصل على تذاكر؟,哪里买车票？,Where do we get tickets?,sent
2136,أين يؤلمك؟,哪里痛？,Where does it hurt?,sent
2137,أين تذهب هذه الحافلة؟,这辆巴士去哪里？,Where does this bus go?,sent
2138,أين يذهب هذا القطار؟,这列火车去哪里？,Where does this train go?,sent
2139,أين توجد آلة الصرف الآلي؟,提款机在哪里？,Where is an ATM?,sent
2140,أين تقع على الخريطة؟,在地图上的哪里？,Where is it on the map?,sent
2141,أين ال*؟,*在哪里？,Where is the *?,vp
2142,أين الحمام؟,洗手间在哪里？,Where is the bathroom?,sent
2143,أين الحافلة المتجهة إلى *؟,到*的巴士在哪？,Where is the bus to *?,vp
2144,أين الحمام؟,厕所在哪里？,Where is the toilet?,sent
2145,أن القطار المتجه إلى *؟,到*的火车在哪？,Where is the train to *?,vp
2146,اين؟,哪里？,Where?,sent
2147,بأي اتجاه؟,哪个方向？,Which direction?,sent
2148,نحن في أي محطة؟,我们在哪一站？,Which station are we at?,sent
2149,شراب الويسكي,威士忌,whiskey,np
2150,أبيض,白色,white,adj
2151,نبيذ أبيض,白酒,white wine,np
2152,من؟,谁？,Who?,sent
2153,لماذا؟,为什么？,Why?,sent
2154,نساء,女人,women,np
2155,عمل,工作,work,np
2156,معصم,手腕,wrist,np
2157,ورق للكتابة,纸,writing paper,np
2158,أصفر,黄色,yellow,adj
2159,نعم من فضلك,是，谢谢,"Yes, please.",sent
2160,نعم.,是,Yes.,sent
2161, البارحة,昨天,yesterday,np
2162,ينتج,让路,yield,vp
2163,أنت,你,you,np
2164, أنتم,你们,you (p),np
2165,"أنت تغشني (s), أنتما تغشانني (two), أنتم تغشونني (more than two)",你在骗我。,You're cheating me.,sent
2166,على الرحب والسعة,不客气。,You're welcome.,sent
2167,بيوت الشباب,青年旅馆,youth hostel,np
2168,بخير، شكرا لك.,"很好, 谢谢。","I'm fine, thank you.",sent
2169,جيد!,好！,Good.,sent
2170,عظيم.,很棒！,Great.,sent
2171,هل أنت بمفردك؟,,Are you here by yourself?,sent
2172,كم ثمن *؟,多少钱 *？,How much is *?,vp
2173,أنا لا أفهم,我听不懂。,I don't understand.,sent
2174,دولار,美元,* dollar(s),prt
2175,جنيه,磅,* pound(s),prt
2176,درهم,迪拉姆,* dirham,prt
2177,دينار,第纳尔,* dinar,prt
2178,* يوان,*元,* yuan,prt
2179,لشخص واحد.,为一个人。,For one person.,sent
2180,لشخصين.,为两个人。,For two people.,sent
2181,ل* أشخاص.,为*个人。,For * people.,vp
2182,نعم.,是的。,Yeah.,vp
2183,صحيح!,当然啦!,Sure.,sent
2184,صديق,朋友,friend,np
2185,مرحبا!,你好！,Hi!,sent
2186,ماذا تحب؟,你喜欢什么？,What would you like?,sent
2187,أود *.,我想要 *。,I would like *.,vp
2188,مانجو,芒果,mango,np
2189,تفاحة,苹果,apple,np
2190,* أشخاص,*个人,* people,prt
2191,أفغانستان,阿富汗,Afghanistan,np
2192,ألبانيا,阿尔巴尼亚,Albania,np
2193,الجزائر,阿尔及利亚,Algeria,np
2194,أندورا,安道尔,Andorra,np
2195,أنغولا,安哥拉,Angola,np
2196,أنتيغوا,安提瓜,Antigua,np
2197,الأرجنتين,阿根廷,Argentina,np
2198,أرمينيا,亚美尼亚,Armenia,np
2199,أستراليا,澳大利亚,Australia,np
2200,النمسا,奥地利,Austria,np
2201,أذربيجان,阿塞拜疆,Azerbaijan,np
2202,الباهاما,巴哈马,Bahamas,np
2203,البحرين,巴林,Bahrain,np
2204,بنغلاديش,孟加拉国,Bangladesh,np
2205,بربادوس,巴巴多斯,Barbados,np
2206,روسيا البيضاء,白俄罗斯,Belarus,np
2207,بلجيكا,比利时,Belgium,np
2208,بليز,伯利兹,Belize,np
2209,بنين,贝宁,Benin,np
2210,بوتان,不丹,Bhutan,np
2211,بوليفيا,玻利维亚,Bolivia,np
2212,البوسنة الهرسك,波黑,Bosnia Herzegovina,np
2213,بوتسوانا,博茨瓦纳,Botswana,np
2214,البرازيل,巴西,Brazil,np
2215,بروناي,文莱,Brunei,np
2216,بلغاريا,保加利亚,Bulgaria,np
2217,فاسو,布基纳法索,Burkina,np
2218,بوروندي,布隆迪,Burundi,np
2219,كمبوديا,柬埔寨,Cambodia,np
2220,الكاميرون,喀麦隆,Cameroon,np
2221,كندا,加拿大,Canada,np
2222,الرأس الأخضر,佛得角,Cape Verde,np
2223,ممثل وسط افريقيا,中非共和国,Central African Rep,np
2224,تشاد,乍得,Chad,np
2225,تشيلي,智利,Chile,np
2226,الصين,中国,China,np
2227,كولومبيا,哥伦比亚,Colombia,np
2228,جزر القمر,科摩罗,Comoros,np
2229,الكونغو,刚果,Congo,np
2230,جمهورية الكونغو الديمقراطية,刚果民主共和国,Democratic Republic of Congo,np
2231,كوستا ريكا,哥斯达黎加,Costa Rica,np
2232,كرواتيا,克罗地亚,Croatia,np
2233,كوبا,古巴,Cuba,np
2234,قبرص,塞浦路斯,Cyprus,np
2235,جمهورية التشيك,捷克共和国,Czech Republic,np
2236,الدنمارك,丹麦,Denmark,np
2237,جيبوتي,吉布提,Djibouti,np
2238,دومينيكا,多米尼加,Dominica,np
2239,جمهورية الدومنيكان,多明尼加共和国,Dominican Republic,np
2240,تيمور الشرقية,东帝汶,East Timor,np
2241,الإكوادور,厄瓜多尔,Ecuador,np
2242,مصر,埃及,Egypt,np
2243,السلفادور,萨尔瓦多,El Salvador,np
2244,غينيا الإستوائية,赤道几内亚,Equatorial Guinea,np
2245,إريتريا,厄立特里亚,Eritrea,np
2246,استونيا,爱沙尼亚,Estonia,np
2247,أثيوبيا,埃塞俄比亚,Ethiopia,np
2248,فيجي,斐,Fiji,np
2249,فنلندا,芬兰,Finland,np
2250,فرنسا,法国,France,np
2251,الغابون,加蓬,Gabon,np
2252,غامبيا,冈比亚,Gambia,np
2253,جورجيا,格鲁吉亚,Georgia,np
2254,ألمانيا,德国,Germany,np
2255,غانا,加纳,Ghana,np
2256,اليونان,希腊,Greece,np
2257,غرينادا,格林纳达,Grenada,np
2258,غواتيمالا,危地马拉,Guatemala,np
2259,غينيا,几内亚,Guinea,np
2260,غينيا بيساو,几内亚比绍,Guinea-Bissau,np
2261,غيانا,圭亚那,Guyana,np
2262,هايتي,海地,Haiti,np
2263,هندوراس,洪都拉斯,Honduras,np
2264,المجر,匈牙利,Hungary,np
2265,أيسلندا,冰岛,Iceland,np
2266,الهند,印度,India,np
2267,أندونيسيا,印度尼西亚,Indonesia,np
2268,إيران,伊朗,Iran,np
2269,العراق,伊拉克,Iraq,np
2270,أيرلندا,爱尔兰,Ireland,np
2271,إسرائيل,以色列,Israel,np
2272,إيطاليا,意大利,Italy,np
2273,ساحل العاج,象牙海岸,Ivory Coast,np
2274,جامايكا,牙买加,Jamaica,np
2275,اليابان,日本,Japan,np
2276,الأردن,约旦,Jordan,np
2277,كازاخستان,哈萨克斯坦,Kazakhstan,np
2278,كينيا,肯尼亚,Kenya,np
2279,كيريباس,基里巴斯,Kiribati,np
2280,كوريا الشمالية,北朝鲜,North Korea,np
2281,كوريا الجنوبية,韩国,South Korea,np
2282,كوسوفو,科索沃,Kosovo,np
2283,الكويت,科威特,Kuwait,np
2284,قرغيزستان,吉尔吉斯斯坦,Kyrgyzstan,np
2285,لاوس,老挝,Laos,np
2286,لاتفيا,拉脱维亚,Latvia,np
2287,لبنان,黎巴嫩,Lebanon,np
2288,ليسوتو,莱索托,Lesotho,np
2289,ليبيريا,利比里亚,Liberia,np
2290,ليبيا,利比亚,Libya,np
2291,ليختنشتاين,列支敦士登,Liechtenstein,np
2292,ليتوانيا,立陶宛,Lithuania,np
2293,لوكسمبورغ,卢森堡,Luxembourg,np
2294,مقدونيا,马其顿,Macedonia,np
2295,مدغشقر,马达加斯加,Madagascar,np
2296,مالاوي,马拉维,Malawi,np
2297,ماليزيا,马来西亚,Malaysia,np
2298,جزر المالديف,马尔代夫,Maldives,np
2299,مالي,马里,Mali,np
2300,مالطا,马耳他,Malta,np
2301,جزر مارشال,马绍尔群岛,Marshall Islands,np
2302,موريتانيا,毛里塔尼亚,Mauritania,np
2303,موريشيوس,毛里求斯,Mauritius,np
2304,المكسيك,墨西哥,Mexico,np
2305,ميكرونيزيا,密克罗尼西亚,Micronesia,np
2306,مولدوفا,摩尔多瓦,Moldova,np
2307,موناكو,摩纳哥,Monaco,np
2308,منغوليا,蒙古,Mongolia,np
2309,الجبل الأسود,黑山,Montenegro,np
2310,المغرب,摩洛哥,Morocco,np
2311,موزمبيق,莫桑比克,Mozambique,np
2312,ميانمار,缅甸,Myanmar,np
2313,ناميبيا,纳米比亚,Namibia,np
2314,ناورو,瑙鲁,Nauru,np
2315,نيبال,尼泊尔,Nepal,np
2316,هولندا,荷兰,Netherlands,np
2317,نيوزيلاندا,新西兰,New Zealand,np
2318,نيكاراغوا,尼加拉瓜,Nicaragua,np
2319,النيجر,尼日尔,Niger,np
2320,نيجيريا,尼日利亚,Nigeria,np
2321,النرويج,挪威,Norway,np
2322,سلطنة عمان,阿曼,Oman,np
2323,باكستان,巴基斯坦,Pakistan,np
2324,بالاو,帕劳,Palau,np
2325,بناما,巴拿马,Panama,np
2326,بابوا غينيا الجديدة,巴布亚新几内亚,Papua New Guinea,np
2327,باراغواي,巴拉圭,Paraguay,np
2328,بيرو,秘鲁,Peru,np
2329,الفلبين,菲律宾,Philippines,np
2330,بولندا,波兰,Poland,np
2331,البرتغال,葡萄牙,Portugal,np
2332,دولة قطر,卡塔尔,Qatar,np
2333,رومانيا,罗马尼亚,Romania,np
2334,الاتحاد الروسي,俄罗斯联邦,Russian Federation,np
2335,رواندا,卢旺达,Rwanda,np
2336,سانت كيتس ونيفيس,圣基茨和尼维斯,St Kitts & Nevis,np
2337,شارع لوسيا,圣卢西亚,St Lucia,np
2338,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,Saint Vincent & the Grenadines,np
2339,ساموا,萨摩亚,Samoa,np
2340,سان مارينو,圣马力诺,San Marino,np
2341,ساو تومي وبرينسيبي,圣多美和普林西比,Sao Tome & Principe,np
2342,المملكة العربية السعودية,沙特阿拉伯,Saudi Arabia,np
2343,السنغال,塞内加尔,Senegal,np
2344,صربيا,塞尔维亚,Serbia,np
2345,سيشيل,塞舌尔,Seychelles,np
2346,سيرا ليون,塞拉利昂,Sierra Leone,np
2347,سنغافورة,新加坡,Singapore,np
2348,سلوفاكيا,斯洛伐克,Slovakia,np
2349,سلوفينيا,斯洛文尼亚,Slovenia,np
2350,جزر سليمان,所罗门群岛,Solomon Islands,np
2351,الصومال,索马里,Somalia,np
2352,جنوب أفريقيا,南非,South Africa,np
2353,جنوب السودان,南苏丹,South Sudan,np
2354,إسبانيا,西班牙,Spain,np
2355,سيريلانكا,斯里兰卡,Sri Lanka,np
2356,سودان,苏丹,Sudan,np
2357,سورينام,苏里南,Suriname,np
2358,سوازيلاند,斯威士兰,Swaziland,np
2359,السويد,瑞典,Sweden,np
2360,سويسرا,瑞士,Switzerland,np
2361,سوريا,叙利亚,Syria,np
2362,تايوان,台湾,Taiwan,np
2363,طاجيكستان,塔吉克斯坦,Tajikistan,np
2364,تنزانيا,坦桑尼亚,Tanzania,np
2365,تايلاند,泰国,Thailand,np
2366,ليذهب,多哥,Togo,np
2367,تونغا,汤加,Tonga,np
2368,ترينيداد وتوباجو,特立尼达和多巴哥,Trinidad & Tobago,np
2369,تونس,突尼斯,Tunisia,np
2370,ديك رومي,火鸡,Turkey,np
2371,تركمانستان,土库曼斯坦,Turkmenistan,np
2372,توفالو,图瓦卢,Tuvalu,np
2373,أوغندا,乌干达,Uganda,np
2374,أوكرانيا,乌克兰,Ukraine,np
2375,الإمارات العربية المتحدة,阿联酋,United Arab Emirates,np
2376,المملكة المتحدة,英国,United Kingdom,np
2377,الولايات المتحدة الامريكانية,美国,United States,np
2378,أوروغواي,乌拉圭,Uruguay,np
2379,أوزبكستان,乌兹别克斯坦,Uzbekistan,np
2380,فانواتو,瓦努阿图,Vanuatu,np
2381,مدينة الفاتيكان,梵蒂冈城,Vatican City,np
2382,فنزويلا,委内瑞拉,Venezuela,np
2383,فيتنام,越南,Vietnam,np
2384,اليمن,也门,Yemen,np
2385,زامبيا,赞比亚,Zambia,np
2386,زيمبابوي,津巴布韦,Zimbabwe,np
2387,طوكيو,东京,Tokyo,np
2388,دلهي,新德里,Delhi,np
2389,شنغهاي,上海,Shanghai,np
2390,بكين,北京,Beijing,np
2391,مومباي,孟买,Mumbai,np
2392,ساو باولو,圣保罗,Sao Paulo,np
2393,المكسيك المدينة,墨西哥城,Mexico City,np
2394,أوساكا,大阪,Osaka,np
2395,القاهرة,开罗,Cairo,np
2396,دكا,达卡,Dhaka,np
2397,كراتشي,卡拉奇,Karachi,np
2398,بوينس آيرس،,布宜诺斯艾利斯,Buenos Aires,np
2399,كولكاتا,加尔各答,Kolkata,np
2400,لاغوس,拉各斯,Lagos,np
2401,اسطنبول,伊斯坦布尔,Istanbul,np
2402,تشونغتشينغ,渝,Chongqing,np
2403,قوانغتشو,广州,Guangzhou,np
2404,مانيلا,马尼拉,Manila,np
2405,ريو دي جانيرو,里约热内卢,Rio de Janeiro,np
2406,موسكو,莫斯科,Moscow,np
2407,تيانجين,天津,Tianjin,np
2408,بنغالور,班加罗尔,Bangalore,np
2409,باريس,巴黎,Paris,np
2410,شنتشن,深圳,Shenzhen,np
2411,جاكرتا,雅加达,Jakarta,np
2412,تشيناي,奈,Chennai,np
2413,لندن,伦敦,London,np
2414,ليما,利马,Lima,np
2415,بوغوتا,波哥大,Bogota,np
2416,جوهانسبرج,约翰内斯堡,Johannesburg,np
2417,سيول,首尔,Seoul,np
2418,بانكوك,曼谷,Bangkok,np
2419,حيدر أباد,海得拉巴,Hyderabad,np
2420,لاهور,拉合尔,Lahore,np
2421,طهران,德黑兰,Tehran,np
2422,تشنغدو,成都,Chengdu,np
2423,ووهان,武汉,Wuhan,np
2424,أحمد أباد,艾哈迈达巴德,Ahmedabad,np
2425,كوالا لامبور,吉隆坡,Kuala Lumpur,np
2426,مدينة الرياض,利雅得,Riyadh,np
2427,سانتياغو,圣地亚哥,Santiago,np
2428,سورة,苏拉特,Surat,np
2429,مدريد,马德里,Madrid,np
2430,تورونتو,多伦多,Toronto,np
2431,بيون,普纳,Pune,np
2432,دار السلام,达累斯萨拉姆,Dar es Salaam,np
2433,برشلونة,巴塞罗那,Barcelona,np
2434,يانجون,仰光,Yangon,np
2435,غوادالاخارا,瓜达拉哈拉,Guadalajara,np
2436,أنقرة,安卡拉,Ankara,np
2437,الإسكندرية,亚历山大,Alexandria,np
2438,سان بطرسبرج,圣彼得堡,Saint Petersburg,np
2439,سيدني,悉尼,Sydney,np
2440,نيروبي,内罗毕,Nairobi,np
2441,برازيليا,巴西利亚,Brasilia,np
2442,ملبورن,墨尔本,Melbourne,np
2443,ميديلين,麦德林,Medellin,np
2444,مونتريال,蒙特利尔,Montreal,np
2445,حلب,阿勒颇,Aleppo,np
2446,كيب تاون,开普敦,Cape Town,np
2447,تل أبيب,特拉维夫,Tel Aviv,np
2448,روما,罗马,Rome,np
2449,جايبور,斋浦尔,Jaipur,np
2450,الدار البيضاء,卡萨布兰卡,Casablanca,np
2451,البرلينية,柏林,Berlin,np
2452,لكناو,勒克瑙,Lucknow,np
2453,بوسان,釜山,Busan,np
2454,ميلان,米兰,Milan,np
2455,كانبور,坎普尔,Kanpur,np
2456,أثينا,雅典,Athens,np
2457,سورابايا,泗水,Surabaya,np
2458,لشبونة,里斯本,Lisbon,np
2459,أبوجا,阿布贾,Abuja,np
2460,كالي,卡利,Cali,np
2461,مانشستر,曼彻斯特,Manchester,np
2462,تايبيه,台北,Taipei,np
2463,دبي,迪拜,Dubai,np
2464,فانكوفر,温哥华,Vancouver,np
2465,أكرا,阿克拉,Accra,np
2466,بريسبان,布里斯班,Brisbane,np
2467,بيروت,贝鲁特,Beirut,np
2468,بوبال,博帕尔,Bhopal,np
2469,بريتوريا,比勒陀利亚,Pretoria,np
2470,هيروشيما,广岛,Hiroshima,np
2471,تيخوانا,蒂华纳,Tijuana,np
2472,هافانا,哈瓦那,Havana,np
2473,بروكسل,布鲁塞尔,Brussels,np
2474,بيرث,珀斯,Perth,np
2475,بنوم بنه,金边,Phnom Penh,np
2476,بوخارست,布加勒斯特,Bucharest,np
2477,مكة المكرمة,麦加,Mecca,np
2478,هامبورغ,汉堡,Hamburg,np
2479,فيينا,维也纳,Vienna,np
2480,مدينة باناما,巴拿马城,Panama City,np
2481,وارسو,华沙,Warsaw,np
2482,بودابست,布达佩斯,Budapest,np
2483,ليون,里昂,Lyon,np
2484,مرسيليا,马赛,Marseille,np
2485,اسلام اباد,伊斯兰堡,Islamabad,np
2486,ستوكهولم,斯德哥尔摩,Stockholm,np
2487,ميونيخ,慕尼黑,Munich,np
2488,الشارقة,沙迦,Sharjah,np
2489,كالجاري,卡尔加里,Calgary,np
2490,أوكلاند,奥克兰,Auckland,np
2491,أوتاوا,渥太华,Ottawa,np
2492,ادمونتون,埃德蒙顿,Edmonton,np
2493,براغ,布拉格,Prague,np
2494,بورتو,波尔图,Porto,np
2495,كاتماندو,加德满都,Kathmandu,np
2496,كوبنهاغن,哥本哈根,Copenhagen,np
2497,أديليد,阿德莱德,Adelaide,np
2498,زيوريخ,苏黎世,Zurich,np
2499,أبو ظبي,阿布扎比,Abu Dhabi,np
2500,غلاسكو,格拉斯哥,Glasgow,np
2501,صوفيا,苏菲亚,Sofia,np
2502,دبلن,都柏林,Dublin,np
2503,هلسنكي,赫尔辛基,Helsinki,np
2504,بلغراد,贝尔格莱德,Belgrade,np
2505,مدينة هو تشي مينه,胡志明市,Ho Chi Minh City,np
2506,طرابلس,硅藻土,Tripoli,np
2507,أمستردام,阿姆斯特丹,Amsterdam,np
2508,كولونيا,科隆,Cologne,np
2509,أوسلو,奥斯陆,Oslo,np
2510,روتردام,鹿特丹,Rotterdam,np
2511,لطيف,尼斯,Nice,np
2512,تولوز,图卢兹,Toulouse,np
2513,بوردو,波尔多,Bordeaux,np
2514,ساوثامبتون,南安普敦,Southampton,np
2515,ليفربول,利物浦,Liverpool,np
2516,بيت المقدس,耶路撒冷,Jerusalem,np
2517,فالنسيا,瓦伦西亚,Valencia,np
2518,برمنغهام,伯明翰,Birmingham,np
2519,وينيبيغ,温尼伯,Winnipeg,np
2520,نوتنغهام,诺丁汉,Nottingham,np
2521,هاميلتون,汉密尔顿,Hamilton,np
2522,فرانكفورت,法兰克福,Frankfurt,np
2523,سالونيك,塞萨洛尼基,Thessaloniki,np
2524,شيفيلد,谢菲尔德,Sheffield,np
2525,بالي,巴厘岛,Bali,np
2526,فلورنسا,佛罗伦萨,Florence,np
2527,زغرب,萨格勒布,Zagreb,np
2528,غزة,加沙,Gaza,np
2529,بريستول,布里斯托尔,Bristol,np
2530,والذهب الساحل,在黄金海岸,The Gold Coast,np
2531,شتوتغارت,斯图加特,Stuttgart,np
2532,مدينة البندقية,威尼斯,Venice,np
2533,نانت,南特,Nantes,np
2534,بلفاست,贝尔法斯特,Belfast,np
2535,دوسلدورف,杜塞尔多夫,Dusseldorf,np
2536,كينغستون,金士顿,Kingston,np
2537,ريغا,里加,Riga,np
2538,ليستر,莱斯特,Leicester,np
2539,كيتشنر,基奇纳,Kitchener,np
2540,برايتون,布莱顿,Brighton,np
2541,ادنبره,爱丁堡,Edinburgh,np
2542,كارديف,加的夫,Cardiff,np
2543,كانبيرا,堪培拉,Canberra,np
2544,مونبلييه,蒙彼利埃,Montpellier,np
2545,هاليفاكس,哈利法克斯,Halifax,np
2546,ولينغتون,惠灵顿,Wellington,np
2547,براتيسلافا,布拉迪斯拉发,Bratislava,np
2548,نيوكاسل,新城堡,Newcastle,np
2549,ستوك أون ترينت,特伦特河畔斯托克,Stoke-on-Trent,np
2550,كوفنتري,考文垂,Coventry,np
2551,مرفئ مويسبي,端口莫尔兹比港,Port Moresby,np
2552,فيكتوريا,维多利亚,Victoria,np
2553,كرايستشيرش,克赖斯特彻奇,Christchurch,np
2554,سوانسي,斯旺西,Swansea,np
2555,ويندسور,温莎,Windsor,np
2556,سراييفو,萨拉热窝,Sarajevo,np
2557,هونغ كونغ,香港,Hong Kong,np
2558,ماكاو,澳门,Macau,np
2559,نيويورك,纽约市,New York City,np
