en,cn,ar,pos,,
daughter-in-law,儿媳,زوجة الإبن,np,,
day,日,يوم,np,,
day-student,走读生,تلميذ خارجي,np,,
decaffeinated coffee,低因咖啡,قهوة منزوعة الكافيين,np,,
December,十二月,ديسمبر,np,,
degree,学位,الدرجة العلمية,np,,
delayed,延误,مؤجل,np,,
Delhi,新德里,دلهي,np,,
demi-spoon,小咖啡勺,ملعقة صغيرة,np,,
Democratic Republic of Congo,刚果民主共和国,جمهورية الكونغو الديمقراطية,np,,
Denmark,丹麦,الدنمارك,np,,
Departure Gate.,登机口。,بوابة المغادرة.,sent,,
departure lounge,候机厅,صالة المغادرة,np,,
Departure Lounge.,候机厅。,صالة المغادرة,sent,,
departure time,起飞时间,وقت المغادرة,np,,
Departure Time On Reverse.,返航时间。,وقت المغادرة عكسي.,sent,,
"Departure, Terminal *",*号候机楼,المغادرة ، المحطة *,vp,,
departures,出港,لمغادرين,np,,
Departures.,出港。,لمغادرين,sent,,
deposit,押金,وديعة,np,,
Depress Handle Until Bowl Is Empty.,压下把手直至便盆冲净为止。,اضغط على المقبض حتى يتم إفراغ الوعاء.,sent,,
descent,世系,نزول,np,,
dessrt plate,甜品碟,طبق الحلوى,np,,
dessert for,甜品叉,الحلوى ل,np,,
dessert knife,水果刀,سكين الحلوى,np,,
dessert spoon,甜品勺,ملعقة الحلوى,np,,
destination country,前往目的地国,بلد المقصد,np,,
detector,探测器,كاشف,np,,
Dhaka,达卡,دكا,np,,
diarrhoea,泻肚子/拉肚子,إسهال,np,,
dictionary,词典,قاموس,np,,
Did you forget something?,遗忘了物品吗?,هل نسيت شيئًا؟,sent,,
diesel,柴油,ديزل‎ سولار‎ جاز,np,,
dinner for,正餐叉,العشاء ل,np,,
dinner knife,正餐刀,سكين العشاء,np,,
diplomatic,老练的,دبلوماسي,np,,
direct flight,直飞,رحلة مباشرة,np,,
disciplined,守纪律的,منضبط,np,,
disembark,下机,نزل من السفينة,np,,
dish,碟子,طبق,np,,
district,区,منطقة,np,,
divorced,离异,مطلقة,np,,
Djibouti,吉布提,جيبوتي,np,,
Do Not Hesitate To Contact Us.,请不要犹豫联系我们。,لا تترددوا في الاتصال بنا.,sent,,
do not pass,禁止超车,لا تمر,np,,
Do Not Smoke In The Bed.,请勿在床上吸烟。,لا تدخن في السرير.,sent,,
Do you accept * currency?,你接受*的货币吗？,هل تقبل العملة *؟,vp,,
Do you accept credit cards?,你接受信用卡吗？,هل تقبل بطاقات الائتمان؟,sent,,
Do you accept US dollars?,你接受美元吗？,هل تقبل الدولار الأمريكي؟,sent,,
Do you go to *?,去不去*?,هل تذهب إلى *؟,vp,,
Do you have * newspapers?,你们有没有中文报纸?,هل لديك جريدة*؟,sent,,
Do you have a reservation?,您有预订吗?,هل لديك حجز؟,sent,,
Do you have a safe?,你们有没有保险箱？,هل لديك خزنة؟,sent,,
Do you have a table for * please?,你能安排一张四人桌吗?,هل لديك طاولة لـ * أشخاص من فضلك؟,sent,,
Do you have an English menu?,你有没有英文菜单？,هل لديك قائمة بالإنجليزية؟,sent,,
Do you have any bages to check?,你有什么行李要托运吗?,هل لديك أي حقائب للفحص؟,sent,,
Do you have any direct flights coming back?,回程时你们有直飞的班机吗?,هل لديك أي رحلات طيران مباشرة للعودة؟,sent,,
Do you have any empty seats together somewhere?,哪有在一起的空座位呢?,هل لديك أي مقاعد فارغة بجانب بعضها البعض؟,sent,,
Do you have any lower fare?,有比较便宜的机票吗?,هل لديك أي أسعار أقل؟,sent,,
Do you have any medicine for airsickness?,你们有晕机药吗?,هل لديك أي دواء لمرض الهواء؟,sent,,
Do you have any other seats open where we can sit together?,还有没有其他连在一起的座位?,هل لديك أي مقاعد أخرى متاحة حيث يمكننا الجلوس بجانب بعضنا البعض؟,sent,,
Do you have any particular restaurant in mind?,你想好有什么特别的餐馆吗?,هل تفكر في أي مطعم معين؟,sent,,
Do you have any rooms available?,你们还有房间吗？,هل لديك أي غرف متاحة؟,sent,,
Do you have any snacks?,有没有小吃？有没有点心？,هل لديك أي وجبات خفيفة؟,sent,,
Do you have any sugar substitute?,你们有代糖的吗?,هل لديك أي بديل للسكر؟,sent,,
Do you have any tickets available for that date?,你们有那天的票吗?,هل لديك أي تذاكر متاحة لهذا التاريخ؟,sent,,
Do you have anything for airsickness?,你们有晕机药吗?,هل لديك أي شيء لمرض الهواء؟,sent,,
Do you have insurance?,你有保险吗？,هل لديك تأمين؟,sent,,
Do you have it in another color?,你们有没有另外的颜色?,هل لديك لون آخر؟,sent,,
Do you have more of this item in stock?,这种商品还有存货吗?,هل لديك المزيد من هذه السلعة في المخزون؟,sent,,
Do you have one to recommend?,你有推荐的吗?,هل توصي بواحدة معينة؟ ,sent,,
Do you have the boarding pass for the next flight?,您有下一趟航班的登机牌吗?,هل لديك بطاقة الصعود للرحلة القادمة؟,sent,,
Do you have this in my size?,有没有我的尺寸？,هل لديكم  مقاسي من هذه؟,sent,,
Do you have this in stock?,这个还有存货吗?,هل لديك هذا في المخزون؟,sent,,
Do you have time for coffee?,你有空喝杯咖啡吗?,هل لديك وقت لتناول القهوة؟,sent,,
Do you know *?,你知道*吗？,هل تعلم *؟,vp,,
Do you know how long it will be?,你知道会延误多久吗?,هل تعرف سيستغرق كم من الوقت؟,sent,,
Do you live with your parents?,你和父母住在一起吗?,هل تعيش مع والديك؟,sent,,
Do you mind changing seats with me?,你介意跟我换下座位吗?,هل تمانع في تغيير المقاعد معي؟,sent,,
Do you prefer a smoking or non-smoking area?,您喜欢吸烟区还是非吸烟区?,هل تفضل منطقة تدخين أو منطقة ممنوع التدخين؟,sent,,
Do you remember which aisle this was at?,你记得这货物在哪条货道里吗?,هل تتذكر الممر الذي كان فيه؟,sent,,
Do you sell organic vegetables here?,你们卖有机蔬菜吗?,هل تبيع الخضروات العضوية هنا؟,sent,,
Do you serve alcohol?,你们销售酒精类饮品吗？,هل تقدمون أي خمور؟,sent,,
Do you serve anything else besides drinks?,除了喝的你们这还有什么别的吗?,هل تقدمون أي شيء آخر إلى جانب المشروبات؟,sent,,
Do you ship overseas?,可以邮寄到海外吗？,هل تشحنون إلى الخارج؟,sent,,
Do you speak *?,你说日语吗?,هل تتكلم *؟,sent,,
Do you speak English?,你会说英语吗？,هل هناك شحن دولى؟,sent,,
Do you take * currency?,*元可以吗？,هل تقبلون عملة *؟,vp,,
Do you think you could tell the kitchen to speed it up a little bit?,你能告诉厨房速度快一点吗?,هل تعتقد أنك ستستطيع إخبار المطبخ بتسريع الأمر قليلاً؟,sent,,
Do you understand?,听得懂吗？,مفهوم؟,sent,,
Do you want to fly first or economy class?,您要头等舱还是经济舱?,هل تريد أن تطير درجة أولى أو درجة سياحية؟,sent,,
Do you want to try it?,你要不要尝一下?,هل تريد أن تجربه؟,sent,,
doctor,博士,طبيب,np,,
Does it need to take so long?,用花那么长时间吗?,هل يحتاج إلى وقت طويل؟,sent,,
Does that include breakfast?,早餐包含在内吗？,هل هذا يشمل وجبة الافطار؟,sent,,
Does that really work? I'll give it a try.,真的有用吗? 我来试试。,هل هذا حقًا العمل؟ سأجربه.,sent,,
Does the room come with *?,这个房间有没有*？,هل تحتوي هذه الغرفة على *؟,vp,,
Does this bus stop in *?,这辆巴士停在*吗？,هل تتوقف هذه الحافلة في *؟,vp,,
Does this train stop in *?,这列火车停在*吗？,هل يتوقف هذا القطار في *؟,vp,,
Doesn't matter.,没关系。,لا يهم.,sent,,
dogs not allowed,禁止携犬入内,الكلاب غير مسموح بها,np,,
domestic airport,国内机场,مطار محلي,np,,
domestic departure,国内航班出站,رحيل محلي,np,,
Domestic Departure.,国内出发。,رحيل محلي,sent,,
domestic flight,国内班机,رحلة محلية,np,,
domestic flights,国内航班,رحلات محلية,np,,
Domestic Flights.,国内航班。,رحلات محلية,sent,,
Dominica,多米尼加,دومينيكا,np,,
Dominican Republic,多明尼加共和国,جمهورية الدومنيكان,np,,
Don't Leave Valuables Unattended.,请保管好随身携带的贵重物品。,لا تترك الأشياء الثمينة بدون مراقبة.,sent,,
Don't touch me!,不要碰我！,لا تلمسني!,sent,,
Don't worry. It's just due to the lower pressure.,不用担心。只是由于低气压的缘故。,لا تقلق. إنه فقط بسبب الضغط المنخفض.,sent,,
Double Lock Door. Use Safety Latch.,双保险门闩，请使用安全碰锁。,باب بقفل مزدوج. استخدم مزلاج الأمان.,sent,,
downstairs,由此下楼,الطابق الأسفل,np,,
downtown,市中心,وسط البلد,np,,
drink list,酒水单,قائمة المشروبات,np,,
driver's license,驾驶证件,رخصة قيادة,np,,
Dubai,迪拜,دبي,np,,
Dublin,都柏林,دبلن,np,,
duel citizenship,双重国籍,الجنسية المزدوجة,np,,
dumpling,饺子,زلابية,np,,
Dusseldorf,杜塞尔多夫,دوسلدورف,np,,
dutiful,尽职的,مطيع,np,,
duty-free shop,免税店,متجر معفى من الرسوم الجمركية,np,,
Early Book For Lunch Or Dinner.,预订午餐或晚餐。,حجز مبكر للغداء أو العشاء.,sent,,
Earphone Set.,耳机。,مجموعة سماعات.,sent,,
ears,耳朵,آذان,np,,
east,东,شرق,adj,,
East Box,东厢,صندوق الشرق,sent,,
East Timor,东帝汶,تيمور الشرقية,np,,
East Wing,东楼,الجناح الشرقي,sent,,
Easy to use and great value too.,好用实惠，物美价廉。,سهلة الاستخدام وذات قيمة كبيرة أيضًا.,sent,,
economy class,经济舱,الدرجة السياحية,np,,
"Economy, please.",请买经济舱。,الدرجة السياحية، من فضلك.,sent,,
Ecuador,厄瓜多尔,الإكوادور,np,,
Edinburgh,爱丁堡,ادنبره,np,,
Edmonton,埃德蒙顿,ادمونتون,np,,
education,学历,التعليم,np,,
educational background,教育程度,خلفية تعليمية,np,,
educational history,学历,التاريخ التربوي,np,,
educational system,学制,نظام تعليمي,np,,
efficient,有效率的,فعالة,np,,
eggs,鸡蛋,بيض,np,,
Egypt,埃及,مصر,np,,
eight,八,ثمانية,num,,
El Salvador,萨尔瓦多,السلفادور,np,,
elder brother,哥哥,الأخ الأكبر,np,,
elder sister,姐姐,الأخت الكبيرة,np,,
emergency exit,安全出口,مخرج الطوارئ,np,,
Emergency Exit.,紧急出口。,مخرج الطوارئ,sent,,
emergency exits,紧急出口,مخارج الطوارئ,np,,
Employees Must Wash Hands Before Returning To Work.,员工便后必须洗手方可回到工作岗位。,يجب على الموظفين غسل اليدين قبل العودة إلى العمل.,sent,,
energetic,精力充沛的,نشيط,np,,
English books,英文书,كتب إنجليزية,np,,
English magazines,英文杂志,مجلات انجليزية,np,,
English newspaper,英文报纸,جريدة إنجليزية,np,,
Enjoy your flight!,飞行愉快!,استمتع برحلتك!,sent,,
Enjoy your meal.,祝您用餐愉快。,أتمنى لك وجبة شهية.,sent,,
entrance,入口,دخول,np,,
Equatorial Guinea,赤道几内亚,غينيا الإستوائية,np,,
Eritrea,厄立特里亚,إريتريا,np,,
espresso,意大利浓咖啡,إسبرسو,np,,
espresso con panna,浓缩咖啡康保蓝,إسبرسو مع كريم,np,,
espresso cup,特浓杯,كوب إسبرسو,np,,
espresso macchiato,浓缩咖啡玛奇朵,إسبرسو ماكياتو,np,,
Estonia,爱沙尼亚,استونيا,np,,
Ethiopia,埃塞俄比亚,أثيوبيا,np,,
evening,晚上,مساء,np,,
Everything checks out.,一切检查完毕。,كل شيء يخرج.,sent,,
ex-husband,前夫,الزوج السابق,np,,
ex-wife,前妻,الزوجة السابقة,np,,
excellent,极佳,ممتاز,np,,
Excellent!,太棒了！,ممتاز!,sent,,
"Excuse me, but is the reservation for you?",对不起，是您预定的?,عذراً ، لكن هل الحجز بالنسبة لك؟,sent,,
"Excuse me, this is my bag.",借过一下，这是我的行李。,معذرةَ ، هذه حقيبتي.,sent,,
Excuse me. (begging pardon),打扰一下。,أعذرني,sent,,
Excuse me. (coming through),对不起。,لو سمحت,sent,,
Excuse me. (getting attention),请问。,معذرة,sent,,
Excuse me. What would you like to eat?,打扰一下，请问您要吃什么?,عفوَا. ماذا تريد أن تأكل؟,sent,,
Excuse me. You have my seat.,不好意思，你坐到我的位子了。,عفوَا. أنت تجلس في مقعدي.,sent,,
Executive Business Centre.,行政商务中心,مركز أعمال تنفيذي.,sent,,
